"Dataset","Scenario","q","Year","F","F_95_lo","F_95_hi","F_base","F_base_StdDev","F_base_95_lo","F_base_95_hi"
"WEE","S1",0.4,2001,0.0240953089961526,0.0141115240935366,0.0340790938987686,0.0256104746674028,0.0050911596441437,0.0156318017648811,0.0355891475699245
"WEE","S1",0.4,2002,0.0268635949853206,0.015881485044295,0.0378457049263462,0.0285109682658181,0.00559531448922683,0.0175441518669335,0.0394777846647027
"WEE","S1",0.4,2003,0.0292331867346347,0.0173009457337488,0.0411654277355206,0.0310081120779889,0.00606839719365247,0.0191140535784301,0.0429021705775477
"WEE","S1",0.4,2004,0.0301334084692234,0.0178864086017801,0.0423804083366667,0.0319494287607709,0.00623882984738516,0.019721322259896,0.0441775352616458
"WEE","S1",0.4,2005,0.0280300207662281,0.0167079038813343,0.0393521376511219,0.0296969611600835,0.00578287839099646,0.0183625195137304,0.0410314028064366
"WEE","S1",0.4,2006,0.0344734543905894,0.0205026838783432,0.0484442249028356,0.0364788573002881,0.00713385620266332,0.022496499143068,0.0504612154575082
"WEE","S1",0.4,2007,0.0383788784757069,0.0227217224090708,0.054036034542343,0.0405729969882257,0.00799964818166156,0.024893686552169,0.0562523074242824
"WEE","S1",0.4,2008,0.0371365478030361,0.0219049650667056,0.0523681305393666,0.0392626057037414,0.00779735457010559,0.0239797907463344,0.0545454206611484
"WEE","S1",0.4,2009,0.0349805825210245,0.0205852045763126,0.0493759604657364,0.0370840279557498,0.00739091025691647,0.0225978438521935,0.0515702120593061
"WEE","S1",0.4,2010,0.0329681571134944,0.0194188776187739,0.0465174366082149,0.0349295750618021,0.00694784774703896,0.0213117934776057,0.0485473566459985
"WEE","S1",0.4,2011,0.0363518974432414,0.0214719408676479,0.0512318540188349,0.0385048935687228,0.00764363884407647,0.0235233614343329,0.0534864257031127
"WEE","S1",0.4,2012,0.0362447879716397,0.0214524191919112,0.0510371567513682,0.0382981179688215,0.00760130066369509,0.0233995686679791,0.0531966672696639
"WEE","S1",0.4,2013,0.0379166385284733,0.0224159699777122,0.0534173070792344,0.0401183808890653,0.00797252639537873,0.024492229154123,0.0557445326240076
"WEE","S1",0.4,2014,0.0373705694313118,0.0220114377993773,0.0527297010632463,0.0400069913954125,0.0079659642049406,0.0243937015537289,0.0556202812370961
"WEE","S1",0.4,2015,0.0388657033316429,0.0227694190919732,0.0549619875713126,0.0416889941064406,0.00832554814070387,0.025370919750661,0.0580070684622202
"WEE","S1",0.4,2016,0.036754708490242,0.0214604684322218,0.0520489485482622,0.0393611314280243,0.00787694870640718,0.0239223119634662,0.0547999508925824
"WEE","S1",0.4,2017,0.0340039177843515,0.0199739319080623,0.0480339036606407,0.036301330511512,0.0072190160039616,0.0221520591437473,0.0504506018792767
"WEE","S1",0.4,2018,0.0340865741472561,0.0199184286905103,0.0482547196040019,0.0364239563948465,0.00729753656350315,0.0221207847303803,0.0507271280593127
"WEE","S1",0.4,2019,0.0318217224449341,0.0184232501730275,0.0452201947168407,0.0338834409705202,0.00688360049741529,0.0203915839955862,0.0473752979454542
"WEE","S1",0.4,2020,0.0266449542861065,0.0153182964352457,0.0379716121369673,0.0281924260826179,0.00581176245113366,0.0168013716783959,0.0395834804868399
"WEE","S1",0.4,2021,0.0299841276782143,0.0169787082978944,0.0429895470585342,0.0316531642203999,0.00668851760464677,0.0185436697152922,0.0447626587255076
"WEE","S1",0.4,2022,0.0296119159752787,0.0164542745324394,0.042769557418118,0.0311174232202576,0.0067603995788883,0.0178670400456365,0.0443678063948787
"WEE","S1",0.4,2023,0.0272033473366671,0.0148049006682827,0.0396017940050515,0.0279139341742449,0.00624008165241424,0.015683374135513,0.0401444942129768
"WEE","S1",0.6,1961,0,NA,NA,0,NA,NA,NA
"WEE","S1",0.6,1962,0.0138967997000401,NA,NA,0.013784549048816,NA,NA,NA
"WEE","S1",0.6,1963,0,NA,NA,0,NA,NA,NA
