"Dataset","Scenario","q","Season","Year","Residual"
"FULL","S2",0.6,"FALL",2010,-2.1919
"FULL","S2",0.6,"FALL",2011,-0.5985121
"FULL","S2",0.6,"FALL",2012,0.3211664
"FULL","S2",0.6,"FALL",2013,-0.7018446
"FULL","S2",0.6,"FALL",2014,0.5240351
"FULL","S2",0.6,"FALL",2015,0.2563158
"FULL","S2",0.6,"FALL",2016,1.816397
"FULL","S2",0.6,"FALL",2018,3.054842
"FULL","S2",0.6,"FALL",2019,-0.716521
"FULL","S2",0.6,"FALL",2021,-0.6060995
"FULL","S2",0.6,"FALL",2022,-0.627561
"WEE","S2",0.6,"SPRING",2009,0.04407504
"WEE","S2",0.6,"SPRING",2010,-0.5460206
"WEE","S2",0.6,"SPRING",2011,-0.2298135
"WEE","S2",0.6,"SPRING",2012,-0.4834969
"WEE","S2",0.6,"SPRING",2013,0.3142969
"WEE","S2",0.6,"SPRING",2014,-2.443834
"WEE","S2",0.6,"SPRING",2015,2.478668
"WEE","S2",0.6,"SPRING",2016,-1.647987
"WEE","S2",0.6,"SPRING",2017,-0.973969
"WEE","S2",0.6,"SPRING",2018,1.130322
"WEE","S2",0.6,"SPRING",2019,1.091386
"WEE","S2",0.6,"SPRING",2021,0.5156505
"WEE","S2",0.6,"SPRING",2022,0.7507221
"WEE","S2",0.6,"FALL",2009,0.01836113
"WEE","S2",0.6,"FALL",2010,-1.700998
"WEE","S2",0.6,"FALL",2011,-0.4868369
"WEE","S2",0.6,"FALL",2012,0.6407786
"WEE","S2",0.6,"FALL",2013,-1.282375
"WEE","S2",0.6,"FALL",2014,0.7648224
"WEE","S2",0.6,"FALL",2015,-0.7524415
"WEE","S2",0.6,"FALL",2016,1.66273
"WEE","S2",0.6,"FALL",2018,3.550265
"WEE","S2",0.6,"FALL",2019,-0.7074717
"WEE","S2",0.6,"FALL",2021,-1.59339
"WEE","S2",0.6,"FALL",2022,-0.1134432
"FULL","S1",0.8,"SPRING",2009,-0.0205165
"FULL","S1",0.8,"SPRING",2010,-0.7009732
"FULL","S1",0.8,"SPRING",2011,-0.1035449
"FULL","S1",0.8,"SPRING",2012,-0.5069782
"FULL","S1",0.8,"SPRING",2013,0.3716927
"FULL","S1",0.8,"SPRING",2014,-2.234252
"FULL","S1",0.8,"SPRING",2015,2.459232
"FULL","S1",0.8,"SPRING",2016,-1.776127
"FULL","S1",0.8,"SPRING",2017,-0.9274896
"FULL","S1",0.8,"SPRING",2018,0.9778639
"FULL","S1",0.8,"SPRING",2019,1.22303
"FULL","S1",0.8,"SPRING",2021,0.4934624
"FULL","S1",0.8,"SPRING",2022,0.7446016
"FULL","S1",0.8,"FALL",2009,-0.4164996
"FULL","S1",0.8,"FALL",2010,-2.077769
"FULL","S1",0.8,"FALL",2011,-0.4839484
"FULL","S1",0.8,"FALL",2012,0.4364098
"FULL","S1",0.8,"FALL",2013,-0.6879921
"FULL","S1",0.8,"FALL",2014,0.446064
"FULL","S1",0.8,"FALL",2015,0.2265469
"FULL","S1",0.8,"FALL",2016,1.910915
"FULL","S1",0.8,"FALL",2018,3.130462
"FULL","S1",0.8,"FALL",2019,-0.7557863
"FULL","S1",0.8,"FALL",2021,-0.6232768
"FULL","S1",0.8,"FALL",2022,-1.105125
"WEE","S1",0.8,"SPRING",2009,0.1481599
"WEE","S1",0.8,"SPRING",2010,-0.4427897
"WEE","S1",0.8,"SPRING",2011,-0.1247997
"WEE","S1",0.8,"SPRING",2012,-0.3757669
"WEE","S1",0.8,"SPRING",2013,0.2984204
"WEE","S1",0.8,"SPRING",2014,-2.472655
"WEE","S1",0.8,"SPRING",2015,2.536564
"WEE","S1",0.8,"SPRING",2016,-1.656564
"WEE","S1",0.8,"SPRING",2017,-1.025003
"WEE","S1",0.8,"SPRING",2018,1.236752
"WEE","S1",0.8,"SPRING",2019,0.9868552
"WEE","S1",0.8,"SPRING",2021,0.2038583
"WEE","S1",0.8,"SPRING",2022,0.68697
"WEE","S1",0.8,"FALL",2009,0.427008
"WEE","S1",0.8,"FALL",2010,-1.291602
"WEE","S1",0.8,"FALL",2011,-0.07604316
"WEE","S1",0.8,"FALL",2012,1.053538
"WEE","S1",0.8,"FALL",2013,-1.597005
"WEE","S1",0.8,"FALL",2014,0.7796472
"WEE","S1",0.8,"FALL",2015,-1.254047
"WEE","S1",0.8,"FALL",2016,1.910697
"WEE","S1",0.8,"FALL",2018,3.878922
"WEE","S1",0.8,"FALL",2019,-0.6340659
"WEE","S1",0.8,"FALL",2021,-2.303905
"WEE","S1",0.8,"FALL",2022,-0.8931438
"FULL","S2",0.8,"SPRING",2009,-0.1141536
"FULL","S2",0.8,"SPRING",2010,-0.7941936
"FULL","S2",0.8,"SPRING",2011,-0.1977932
"FULL","S2",0.8,"SPRING",2012,-0.6028555
"FULL","S2",0.8,"SPRING",2013,0.3879975
"FULL","S2",0.8,"SPRING",2014,-2.205175
"FULL","S2",0.8,"SPRING",2015,2.415674
"FULL","S2",0.8,"SPRING",2016,-1.759796
"FULL","S2",0.8,"SPRING",2017,-0.8792929
"FULL","S2",0.8,"SPRING",2018,0.8946217
"FULL","S2",0.8,"SPRING",2019,1.316338
"FULL","S2",0.8,"SPRING",2021,0.7198299
"FULL","S2",0.8,"SPRING",2022,0.818799
"FULL","S2",0.8,"FALL",2009,-0.6072986
"FULL","S2",0.8,"FALL",2010,-2.268974
"FULL","S2",0.8,"FALL",2011,-0.6758732
"FULL","S2",0.8,"FALL",2012,0.2433218
"FULL","S2",0.8,"FALL",2013,-0.6054017
"FULL","S2",0.8,"FALL",2014,0.5297576
"FULL","S2",0.8,"FALL",2015,0.3566203
"FULL","S2",0.8,"FALL",2016,1.829678
"FULL","S2",0.8,"FALL",2018,3.014893
"FULL","S2",0.8,"FALL",2019,-0.7124478
"FULL","S2",0.8,"FALL",2021,-0.4966241
"FULL","S2",0.8,"FALL",2022,-0.6076528
"WEE","S2",0.8,"SPRING",2009,0.04407504
"WEE","S2",0.8,"SPRING",2010,-0.5460206
"WEE","S2",0.8,"SPRING",2011,-0.2298135
"WEE","S2",0.8,"SPRING",2012,-0.4834969
"WEE","S2",0.8,"SPRING",2013,0.3142969
"WEE","S2",0.8,"SPRING",2014,-2.443834
"WEE","S2",0.8,"SPRING",2015,2.478668
"WEE","S2",0.8,"SPRING",2016,-1.647987
"WEE","S2",0.8,"SPRING",2017,-0.973969
"WEE","S2",0.8,"SPRING",2018,1.130322
"WEE","S2",0.8,"SPRING",2019,1.091386
"WEE","S2",0.8,"SPRING",2021,0.5156505
"WEE","S2",0.8,"SPRING",2022,0.7507221
"WEE","S2",0.8,"FALL",2009,0.01836113
"WEE","S2",0.8,"FALL",2010,-1.700998
"WEE","S2",0.8,"FALL",2011,-0.4868369
"WEE","S2",0.8,"FALL",2012,0.6407786
"WEE","S2",0.8,"FALL",2013,-1.282375
"WEE","S2",0.8,"FALL",2014,0.7648224
"WEE","S2",0.8,"FALL",2015,-0.7524415
"WEE","S2",0.8,"FALL",2016,1.66273
"WEE","S2",0.8,"FALL",2018,3.550265
"WEE","S2",0.8,"FALL",2019,-0.7074717
"WEE","S2",0.8,"FALL",2021,-1.59339
"WEE","S2",0.8,"FALL",2022,-0.1134432
"FULL","S1",1,"SPRING",2009,-0.02947027
"FULL","S1",1,"SPRING",2010,-0.709867
"FULL","S1",1,"SPRING",2011,-0.1125164
"FULL","S1",1,"SPRING",2012,-0.5161152
"FULL","S1",1,"SPRING",2013,0.3795171
"FULL","S1",1,"SPRING",2014,-2.228798
"FULL","S1",1,"SPRING",2015,2.452761
"FULL","S1",1,"SPRING",2016,-1.778985
"FULL","S1",1,"SPRING",2017,-0.9177588
"FULL","S1",1,"SPRING",2018,0.9708891
"FULL","S1",1,"SPRING",2019,1.230047
"FULL","S1",1,"SPRING",2021,0.5100242
"FULL","S1",1,"SPRING",2022,0.7502725
"FULL","S1",1,"FALL",2009,-0.4489985
"FULL","S1",1,"FALL",2010,-2.110278
"FULL","S1",1,"FALL",2011,-0.5165693
"FULL","S1",1,"FALL",2012,0.4035737
"FULL","S1",1,"FALL",2013,-0.6085512
"FULL","S1",1,"FALL",2014,0.4316985
"FULL","S1",1,"FALL",2015,0.3006394
"FULL","S1",1,"FALL",2016,1.942311
"FULL","S1",1,"FALL",2018,3.116696
"FULL","S1",1,"FALL",2019,-0.7619859
"FULL","S1",1,"FALL",2021,-0.5378743
"FULL","S1",1,"FALL",2022,-1.210662
"WEE","S1",1,"SPRING",2009,0.1738635
"WEE","S1",1,"SPRING",2010,-0.4173456
"WEE","S1",1,"SPRING",2011,-0.09880835
"WEE","S1",1,"SPRING",2012,-0.3489381
"WEE","S1",1,"SPRING",2013,0.293859
"WEE","S1",1,"SPRING",2014,-2.480373
"WEE","S1",1,"SPRING",2015,2.551482
"WEE","S1",1,"SPRING",2016,-1.658377
"WEE","S1",1,"SPRING",2017,-1.037766
"WEE","S1",1,"SPRING",2018,1.265128
"WEE","S1",1,"SPRING",2019,0.9607891
"WEE","S1",1,"SPRING",2021,0.1211343
"WEE","S1",1,"SPRING",2022,0.6753529
"WEE","S1",1,"FALL",2009,0.5574021
"WEE","S1",1,"FALL",2010,-1.160937
"WEE","S1",1,"FALL",2011,0.05505966
"WEE","S1",1,"FALL",2012,1.185211
"WEE","S1",1,"FALL",2013,-1.684427
"WEE","S1",1,"FALL",2014,0.8014518
"WEE","S1",1,"FALL",2015,-1.412955
"WEE","S1",1,"FALL",2016,1.999933
"WEE","S1",1,"FALL",2018,3.990392
"WEE","S1",1,"FALL",2019,-0.593936
"WEE","S1",1,"FALL",2021,-2.556931
"WEE","S1",1,"FALL",2022,-1.180263
"FULL","S2",1,"SPRING",2009,-0.1453712
"FULL","S2",1,"SPRING",2010,-0.8252574
"FULL","S2",1,"SPRING",2011,-0.229184
"FULL","S2",1,"SPRING",2012,-0.6347723
"FULL","S2",1,"SPRING",2013,0.400012
"FULL","S2",1,"SPRING",2014,-2.192575
"FULL","S2",1,"SPRING",2015,2.39946
"FULL","S2",1,"SPRING",2016,-1.757837
"FULL","S2",1,"SPRING",2017,-0.8579335
"FULL","S2",1,"SPRING",2018,0.8683203
"FULL","S2",1,"SPRING",2019,1.345518
"FULL","S2",1,"SPRING",2021,0.7872332
"FULL","S2",1,"SPRING",2022,0.8423874
